statsMetaNo,centerNm,critYr,ptAge,ptSexCd,statsTrgtNm,ncsNmvl,wholNcsDnmvl,ptCntNmvl,wholPtCntDnmvl
17050,국립암센터,2021,74,M,N,3,3,3,3
17050,국립암센터,2021,49,F,N,3,3,3,3
17050,국립암센터,2021,61,F,N,3,3,3,3
17050,국립암센터,2021,78,F,N,1,1,1,1
17050,국립암센터,2021,52,M,N,2,2,2,2
17050,국립암센터,2021,62,F,N,2,2,2,2
17050,국립암센터,2021,38,M,N,1,1,1,1
17050,국립암센터,2021,68,M,N,1,1,1,1
17050,국립암센터,2021,74,F,N,1,1,1,1
17050,국립암센터,2021,59,M,N,1,1,1,1
17050,국립암센터,2021,82,M,N,4,4,4,4
17050,국립암센터,2021,65,M,N,1,2,1,2
17050,국립암센터,2021,55,M,N,1,1,1,1
17050,국립암센터,2021,58,M,N,2,3,2,3
17050,국립암센터,2021,55,F,N,1,1,1,1
17050,국립암센터,2021,63,M,N,1,2,1,2
17050,국립암센터,2021,72,M,N,3,3,3,3
17050,국립암센터,2021,53,M,N,2,3,2,3
17050,국립암센터,2021,39,M,N,1,1,1,1
17050,국립암센터,2021,56,M,N,1,1,1,1
17050,국립암센터,2021,77,M,N,2,2,2,2
17050,국립암센터,2021,71,M,N,1,1,1,1
17050,국립암센터,2021,50,F,N,2,2,2,2
17050,국립암센터,2021,53,M,Y,1,3,1,3
17050,국립암센터,2021,70,M,N,2,2,2,2
17050,국립암센터,2021,63,M,Y,1,2,1,2
17050,국립암센터,2021,54,M,N,1,1,1,1
17050,국립암센터,2021,48,M,N,2,2,2,2
17050,국립암센터,2021,68,F,N,1,1,1,1
17050,국립암센터,2021,80,M,N,1,1,1,1
17050,국립암센터,2021,45,M,N,1,2,1,2
17050,국립암센터,2021,57,F,N,1,1,1,1
17050,국립암센터,2021,45,M,Y,1,2,1,2
17050,국립암센터,2021,43,M,N,1,1,1,1
17050,국립암센터,2021,40,M,N,1,1,1,1
17050,국립암센터,2021,76,M,N,2,2,2,2
17050,국립암센터,2021,56,F,N,2,2,2,2
17050,국립암센터,2021,60,F,N,1,1,1,1
17050,국립암센터,2021,42,M,N,1,1,1,1
17050,국립암센터,2021,41,M,N,1,1,1,1
17050,국립암센터,2021,76,F,N,1,1,1,1
17050,국립암센터,2021,79,F,N,2,2,2,2
17050,국립암센터,2021,67,F,N,1,1,1,1
17050,국립암센터,2021,50,M,N,1,1,1,1
17050,국립암센터,2021,40,F,N,1,1,1,1
17050,국립암센터,2021,67,M,N,1,1,1,1
17050,국립암센터,2021,64,M,N,1,1,1,1
17050,국립암센터,2021,58,M,Y,1,3,1,3
17050,국립암센터,2021,66,M,N,1,1,1,1
17050,국립암센터,2021,41,F,N,1,1,1,1
17050,국립암센터,2021,61,M,N,1,1,1,1
17050,국립암센터,2021,81,F,N,1,1,1,1
17050,국립암센터,2021,84,M,N,1,1,1,1
17050,국립암센터,2021,73,M,N,1,1,1,1
17050,국립암센터,2021,60,M,N,3,4,3,4
17050,국립암센터,2021,72,F,N,2,2,2,2
17050,국립암센터,2021,86,M,N,1,1,1,1
17050,국립암센터,2021,49,M,N,1,1,1,1
17050,국립암센터,2021,66,F,N,2,2,2,2
17050,국립암센터,2021,65,F,N,1,1,1,1
17050,국립암센터,2021,63,F,N,1,1,1,1
17050,국립암센터,2021,60,M,Y,1,4,1,4
17050,국립암센터,2021,44,M,N,1,1,1,1
17050,국립암센터,2021,52,F,N,1,1,1,1
17050,국립암센터,2021,65,M,Y,1,2,1,2
17050,국립암센터,2021,57,M,N,2,2,2,2
17050,국립암센터,2021,83,F,N,1,1,1,1
17050,국립암센터,2021,71,F,N,2,2,2,2
17050,국립암센터,2021,79,M,N,1,1,1,1
