statsMetaNo,centerNm,critYr,ptAge,ptSexCd,statsTrgtNm,ncsNmvl,wholNcsDnmvl,ptCntNmvl,wholPtCntDnmvl
14060,국립암센터,2021,66,M,Y,2,2,1,1
14060,국립암센터,2021,62,F,N,3,4,2,3
14060,국립암센터,2021,71,M,Y,8,8,6,6
14060,국립암센터,2021,42,M,Y,2,2,1,1
14060,국립암센터,2021,74,M,Y,2,2,2,2
14060,국립암센터,2021,56,M,Y,2,2,2,2
14060,국립암센터,2021,72,M,Y,6,6,4,4
14060,국립암센터,2021,67,M,N,2,6,1,4
14060,국립암센터,2021,55,F,N,1,1,1,1
14060,국립암센터,2021,37,F,N,1,1,1,1
14060,국립암센터,2021,61,M,N,1,5,1,5
14060,국립암센터,2021,68,M,Y,5,5,3,3
14060,국립암센터,2021,78,M,Y,2,2,2,2
14060,국립암센터,2021,63,F,N,1,1,1,1
14060,국립암센터,2021,75,M,Y,4,4,3,3
14060,국립암센터,2021,61,F,N,1,1,1,1
14060,국립암센터,2021,52,M,Y,1,1,1,1
14060,국립암센터,2021,60,M,Y,1,1,1,1
14060,국립암센터,2021,42,F,N,1,1,1,1
14060,국립암센터,2021,68,F,N,5,5,5,5
14060,국립암센터,2021,56,F,N,1,1,1,1
14060,국립암센터,2021,64,F,N,4,4,3,3
14060,국립암센터,2021,47,F,N,2,2,2,2
14060,국립암센터,2021,55,M,Y,2,2,1,1
14060,국립암센터,2021,51,M,Y,1,1,1,1
14060,국립암센터,2021,73,F,N,3,3,2,2
14060,국립암센터,2021,44,M,Y,1,1,1,1
14060,국립암센터,2021,60,F,N,3,3,2,2
14060,국립암센터,2021,40,M,N,2,2,1,1
14060,국립암센터,2021,59,F,N,3,4,3,4
14060,국립암센터,2021,86,M,Y,1,1,1,1
14060,국립암센터,2021,50,F,Y,2,2,1,1
14060,국립암센터,2021,73,M,N,1,10,1,7
14060,국립암센터,2021,57,M,Y,2,2,2,2
14060,국립암센터,2021,48,M,Y,2,2,1,1
14060,국립암센터,2021,72,F,Y,2,4,2,3
14060,국립암센터,2021,75,F,N,1,1,1,1
14060,국립암센터,2021,74,F,N,4,4,3,3
14060,국립암센터,2021,80,M,Y,1,1,1,1
14060,국립암센터,2021,79,F,N,1,1,1,1
14060,국립암센터,2021,65,M,Y,1,1,1,1
14060,국립암센터,2021,79,M,Y,4,5,3,4
14060,국립암센터,2021,73,M,Y,9,10,6,7
14060,국립암센터,2021,58,M,Y,1,1,1,1
14060,국립암센터,2021,64,M,Y,2,2,2,2
14060,국립암센터,2021,81,F,N,1,1,1,1
14060,국립암센터,2021,63,M,Y,2,2,2,2
14060,국립암센터,2021,81,M,Y,3,3,2,2
14060,국립암센터,2021,78,F,N,2,2,2,2
14060,국립암센터,2021,90,F,N,1,1,1,1
14060,국립암센터,2021,61,M,Y,4,5,4,5
14060,국립암센터,2021,48,F,Y,1,1,1,1
14060,국립암센터,2021,62,F,Y,1,4,1,3
14060,국립암센터,2021,82,M,N,1,7,1,5
14060,국립암센터,2021,54,M,Y,3,3,2,2
14060,국립암센터,2021,82,M,Y,6,7,4,5
14060,국립암센터,2021,72,F,N,2,4,1,3
14060,국립암센터,2021,79,M,N,1,5,1,4
14060,국립암센터,2021,67,F,Y,2,2,2,2
14060,국립암센터,2021,59,M,Y,2,2,2,2
14060,국립암센터,2021,59,F,Y,1,4,1,4
14060,국립암센터,2021,70,F,Y,1,2,1,2
14060,국립암센터,2021,77,M,Y,1,1,1,1
14060,국립암센터,2021,69,M,Y,1,1,1,1
14060,국립암센터,2021,86,F,N,1,1,1,1
14060,국립암센터,2021,71,F,N,1,1,1,1
14060,국립암센터,2021,83,M,Y,1,1,1,1
14060,국립암센터,2021,67,M,Y,4,6,3,4
14060,국립암센터,2021,70,M,Y,2,2,2,2
14060,국립암센터,2021,70,F,N,1,2,1,2
14060,국립암센터,2021,58,F,N,1,1,1,1
